"ts_iso","kv_pct","ts_pct","rel_pct","wal_pct","risk_pct","ops"
"2026-05-11T11:39:50.0839280+02:00","100","4","49","39","100","20297"
"2026-05-11T11:39:51.0649331+02:00","100","4","49","66","100","20483"
"2026-05-11T11:39:58.1934146+02:00","100","4","49","0","100","20512"
"2026-05-11T11:39:59.3277734+02:00","100","4","50","34","100","20751"
"2026-05-11T11:40:07.6386523+02:00","100","4","51","0","100","20999"
"2026-05-11T11:40:08.6303674+02:00","100","4","51","41","100","21286"
"2026-05-11T11:40:16.9046649+02:00","100","4","52","0","100","21485"
"2026-05-11T11:40:17.9027065+02:00","100","4","52","42","100","21782"
"2026-05-11T11:40:25.9789303+02:00","100","4","53","0","100","21975"
"2026-05-11T11:40:26.9751936+02:00","100","4","54","39","100","22245"
"2026-05-11T11:40:35.1686773+02:00","100","4","54","0","100","22461"
"2026-05-11T11:40:36.1631985+02:00","100","4","55","37","100","22724"
"2026-05-11T11:40:44.4542421+02:00","100","4","55","0","100","22952"
"2026-05-11T11:40:45.4435860+02:00","100","5","56","40","100","23236"
"2026-05-11T11:40:46.4556708+02:00","100","5","56","65","100","23411"
"2026-05-11T11:40:53.8458771+02:00","100","5","56","0","100","23441"
"2026-05-11T11:40:55.0955954+02:00","100","5","57","41","100","23731"
"2026-05-11T11:41:03.5895254+02:00","100","5","58","0","100","23930"
"2026-05-11T11:41:04.5874455+02:00","100","5","58","39","100","24202"
"2026-05-11T11:41:12.9778638+02:00","100","5","59","0","100","24417"
"2026-05-11T11:41:13.9766880+02:00","100","5","59","36","100","24675"
"2026-05-11T11:41:22.4577521+02:00","100","5","60","0","100","24910"
"2026-05-11T11:41:23.4865328+02:00","100","5","61","40","100","25193"
